                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1138,                 1.4722,                 1.5188,                0.76442,                0.75745,                0.85073,                0.57893,                  1.079,                 1.0389,                  1.692,               0.067063,              0.0003327,              0.0003327
                      1,                0.90198,                0.93398,                 1.3449,                0.89355,                0.80419,                0.91488,                0.69292,                0.90811,                0.78527,                 1.5929,               0.033997,             0.00060009,             0.00060009
                      2,                0.85453,                 0.8097,                 1.2966,                0.75273,                0.75104,                0.84835,                0.63384,                 0.9168,                0.95885,                 1.5382,             0.00086498,             0.00080149,             0.00080149
                      3,                0.83107,                0.77423,                 1.2781,                0.87739,                0.81486,                0.92871,                0.70488,                0.84955,                0.73966,                 1.4861,               0.000703,               0.000703,               0.000703
                      4,                 0.8228,                0.71881,                 1.2694,                0.88783,                0.85637,                0.93575,                0.70984,                0.82936,                0.64603,                 1.4273,               0.000703,               0.000703,               0.000703
                      5,                0.79131,                0.69284,                 1.2512,                0.87389,                0.84753,                0.93044,                 0.7107,                0.82243,                0.66964,                 1.4236,               0.000604,               0.000604,               0.000604
                      6,                0.80154,                0.69343,                  1.261,                0.82038,                0.84895,                0.88635,                0.66917,                0.84633,                0.66186,                 1.4547,               0.000505,               0.000505,               0.000505
                      7,                0.78379,                0.66642,                 1.2433,                0.77445,                0.77246,                0.78379,                0.58189,                0.92333,                0.72366,                 1.5193,               0.000406,               0.000406,               0.000406
                      8,                0.77238,                0.64643,                 1.2367,                0.74806,                0.85775,                0.78521,                0.60279,                0.82119,                 0.7155,                 1.4308,               0.000307,               0.000307,               0.000307
                      9,                0.77437,                0.64902,                 1.2398,                0.55848,                0.85667,                0.57294,                0.43688,                0.80353,                 2.1221,                 1.4044,               0.000208,               0.000208,               0.000208
