                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  0.871,                 1.1013,                 1.3152,                0.69469,                0.77796,                0.82202,                0.61607,                0.87845,                 1.1051,                 1.5068,               0.067063,              0.0003327,              0.0003327
                      1,                0.83762,                0.82247,                  1.288,                0.68763,                0.73257,                0.77735,                 0.5973,                0.80219,                 0.9747,                   1.41,               0.033997,             0.00060009,             0.00060009
                      2,                0.81518,                0.74373,                 1.2622,                 0.8273,                0.82966,                0.91354,                0.70458,                0.81205,                0.65196,                 1.4295,             0.00086498,             0.00080149,             0.00080149
                      3,                0.80428,                0.69522,                  1.255,                0.90844,                 0.8285,                0.94627,                0.74118,                0.79973,                0.55774,                 1.3881,               0.000703,               0.000703,               0.000703
                      4,                0.79735,                 0.6431,                 1.2437,                 0.8523,                0.86539,                0.94481,                0.74926,                0.76454,                0.58581,                 1.3675,               0.000703,               0.000703,               0.000703
                      5,                0.77206,                0.61522,                 1.2316,                0.91938,                 0.8974,                0.96776,                0.77146,                0.75377,                0.44897,                 1.3615,               0.000604,               0.000604,               0.000604
                      6,                 0.7675,                0.59264,                 1.2343,                0.88136,                0.90503,                0.96481,                0.76801,                0.74114,                0.46838,                 1.3378,               0.000505,               0.000505,               0.000505
                      7,                0.75318,                 0.5647,                 1.2165,                0.92758,                0.89694,                0.96504,                0.77588,                0.72394,                0.42728,                 1.3119,               0.000406,               0.000406,               0.000406
                      8,                0.74188,                0.53912,                 1.2075,                0.93178,                 0.9015,                0.97237,                0.78588,                0.73018,                0.40248,                 1.3055,               0.000307,               0.000307,               0.000307
                      9,                0.73144,                0.51348,                 1.2038,                0.92557,                0.91073,                0.97421,                0.78835,                0.71843,                0.38839,                 1.2995,               0.000208,               0.000208,               0.000208
