                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86875,                 1.1017,                 1.3136,                0.76917,                0.80248,                0.86675,                0.66417,                0.84206,                0.84187,                  1.463,               0.067063,              0.0003327,              0.0003327
                      1,                0.83249,                0.81809,                 1.2851,                0.87061,                0.81474,                0.92928,                0.71687,                0.82076,                0.66602,                 1.4534,               0.033997,             0.00060009,             0.00060009
                      2,                0.81556,                0.75216,                 1.2628,                0.82635,                0.86216,                0.93162,                0.71594,                0.83164,                0.66627,                 1.4893,             0.00086498,             0.00080149,             0.00080149
                      3,                0.80626,                  0.692,                 1.2554,                0.88402,                0.89994,                0.95246,                0.73947,                0.81865,                 0.5611,                 1.3975,               0.000703,               0.000703,               0.000703
                      4,                0.79802,                0.64526,                 1.2453,                0.90669,                 0.8648,                0.95252,                 0.7502,                0.77787,                0.53091,                 1.3689,               0.000703,               0.000703,               0.000703
                      5,                0.77232,                0.61993,                 1.2317,                0.91718,                 0.8859,                0.96189,                0.76246,                0.76056,                0.47397,                 1.3666,               0.000604,               0.000604,               0.000604
                      6,                0.77157,                0.58933,                 1.2321,                0.90235,                0.89488,                0.96423,                0.77782,                0.73647,                 0.4616,                 1.3199,               0.000505,               0.000505,               0.000505
                      7,                 0.7535,                0.56468,                 1.2166,                0.93492,                0.90442,                  0.974,                0.78506,                 0.7222,                0.41181,                 1.3087,               0.000406,               0.000406,               0.000406
                      8,                0.74293,                0.53732,                 1.2097,                0.93003,                0.90934,                0.97127,                0.78338,                0.72738,                0.40126,                 1.3128,               0.000307,               0.000307,               0.000307
                      9,                0.73445,                0.50974,                 1.2047,                0.91669,                0.92701,                0.97544,                0.79003,                0.72449,                0.38803,                 1.3082,               0.000208,               0.000208,               0.000208
